,"FIPS","L0","L10","L20","L30","L40","L50","L60","L70","L80","L90","L100","OFIPS","O0","O10","O20","O30","O40","O50","O60","O70","O80","O90","O100","TFIPS","T0","T10","T20","T30","T40","T50","T60","T70","T80","T90","T100","MFIPS","M"
"01001 Autauga                     ","01001",0,0,7131.8,22152,22152,22152,22152,22152,22152,22152,22152,"01001",0,0,1592.31,4725,4725,4725,4725,4725,4725,4725,4725,"01001",0,0,5681.16,8143.64,10530.99,12063.95,12063.95,13855.73,13855.73,14589.67,15137.9,"01001",0
"01003 Baldwin                     ","01003",0,0,14872.87,47550.75,47550.75,47550.75,47550.75,47550.75,47550.75,47550.75,47550.75,"01003",0,0,3005.31,9165,9165,9165,9165,9165,9165,9165,9165,"01003",0,22.04,33724.55,36752.5,39410.26,43107.57,47314.14,47314.14,47622.96,50358.99,50358.99,"01003",365920.07
"01005 Barbour                     ","01005",0,0,13417.48,41691,41691,41691,41691,41691,41691,41691,41691,"01005",0,0,2993.92,8887.5,8887.5,8887.5,8887.5,8887.5,8887.5,8887.5,8887.5,"01005",0,511.85,9903.37,12172.13,12794.64,14411.84,16217.87,18373.13,18905.99,20951.65,20966.84,"01005",478993.48
"01007 Bibb                        ","01007",0,0,14054.12,44070,44070,44070,44070,44070,44070,44070,44070,"01007",0,0,3042.62,9105,9105,9105,9105,9105,9105,9105,9105,"01007",0,3437.33,17288.33,19620.92,23550.71,24861.44,26271.8,26271.8,26772.42,26772.42,26772.42,"01007",266478.58
"01009 Blount                      ","01009",0,0,6474.29,19558.5,19558.5,19558.5,19558.5,19558.5,19558.5,19558.5,19558.5,"01009",0,0,1575.44,4575,4575,4575,4575,4575,4575,4575,4575,"01009",0,0,10681.88,11617.08,11617.08,12232.46,14194.09,14194.09,14194.09,14773.04,15682.62,"01009",0
"01011 Bullock                     ","01011",0,0,9944.85,31892.25,31892.25,31892.25,31892.25,31892.25,31892.25,31892.25,31892.25,"01011",0,0,1988.09,6082.5,6082.5,6082.5,6082.5,6082.5,6082.5,6082.5,6082.5,"01011",0,0,9454.87,10208.41,10208.41,11333.5,11333.5,12375.1,14109.59,14109.59,16272.21,"01011",0
"01013 Butler                      ","01013",0,0,19357.45,62565.75,62565.75,62565.75,62565.75,62565.75,62565.75,62565.75,62565.75,"01013",0,0,3755.07,11587.5,11587.5,11587.5,11587.5,11587.5,11587.5,11587.5,11587.5,"01013",0,0,11783.37,12812.7,13722.96,13722.96,14222.55,14222.55,17472.17,17848.29,17848.29,"01013",220190.24
"01015 Calhoun                     ","01015",0,0,6604.76,19704.75,19704.75,19704.75,19704.75,19704.75,19704.75,19704.75,19704.75,"01015",0,0,1664.45,4792.5,4792.5,4792.5,4792.5,4792.5,4792.5,4792.5,4792.5,"01015",0,1696.13,4908.91,6972.49,8248.7,8441.85,8822.13,8822.13,8822.13,8822.13,10157.69,"01015",36902.16
"01017 Chambers                    ","01017",0,0,14524.91,42939,42939,42939,42939,42939,42939,42939,42939,"01017",0,0,3752.38,10740,10740,10740,10740,10740,10740,10740,10740,"01017",0,257.11,14916.95,16161.51,16948.27,16948.27,18837.29,18837.29,19219.54,20323.4,20795.57,"01017",0
"01019 Cherokee                    ","01019",0,0,4681.17,14907.75,14907.75,14907.75,14907.75,14907.75,14907.75,14907.75,14907.75,"01019",0,0,958.14,2910,2910,2910,2910,2910,2910,2910,2910,"01019",0,0,8227.9,11722.48,14355.8,16807.93,16807.93,16807.93,17532.8,17532.8,18928.75,"01019",0
"01021 Chilton                     ","01021",0,0,7510.65,23273.25,23273.25,23273.25,23273.25,23273.25,23273.25,23273.25,23273.25,"01021",0,0,1691.57,5010,5010,5010,5010,5010,5010,5010,5010,"01021",0,626.11,6086.23,7513.39,8868.15,9344.18,9893.94,9893.94,9980.21,13172.39,13172.39,"01021",267559.24
"01023 Choctaw                     ","01023",0,0,33291.42,103174.5,103174.5,103174.5,103174.5,103174.5,103174.5,103174.5,103174.5,"01023",0,0,7489.89,22185,22185,22185,22185,22185,22185,22185,22185,"01023",0,0,21985.18,32752.26,33933.27,35901.23,36265.43,36265.43,38066.98,41552.3,42579.17,"01023",112288.33
"01025 Clarke                      ","01025",0,0,55193.55,167514.75,167514.75,167514.75,167514.75,167514.75,167514.75,167514.75,167514.75,"01025",0,0,13243.43,38587.5,38587.5,38587.5,38587.5,38587.5,38587.5,38587.5,38587.5,"01025",0,0,24861.75,27720.69,27731.04,29578.04,30053,31699.51,33286.18,33994.67,34342.72,"01025",484093.47
"01027 Clay                        ","01027",0,0,8198.61,24765,24765,24765,24765,24765,24765,24765,24765,"01027",0,0,1993.98,5790,5790,5790,5790,5790,5790,5790,5790,"01027",0,2265.64,10044.03,11130.18,11130.18,11755.98,12438.79,12894.67,13824.09,17091.59,19007.37,"01027",0
"01029 Cleburne                    ","01029",0,0,8969.48,28557.75,28557.75,28557.75,28557.75,28557.75,28557.75,28557.75,28557.75,"01029",0,0,1840.01,5587.5,5587.5,5587.5,5587.5,5587.5,5587.5,5587.5,5587.5,"01029",0,3724.45,11019.02,11982.18,13949.78,16197.27,17254.24,17254.24,18730.57,21496.06,22303.8,"01029",0
"01031 Coffee                      ","01031",0,0,8062.21,25437.75,25437.75,25437.75,25437.75,25437.75,25437.75,25437.75,25437.75,"01031",0,0,1709.25,5145,5145,5145,5145,5145,5145,5145,5145,"01031",0,0,4374.35,6574.47,7646.74,9073.74,9073.74,9073.74,9073.74,9073.74,9073.74,"01031",0
"01033 Colbert                     ","01033",0,0,4688.25,14108.25,14108.25,14108.25,14108.25,14108.25,14108.25,14108.25,14108.25,"01033",0,0,1152.17,3337.5,3337.5,3337.5,3337.5,3337.5,3337.5,3337.5,3337.5,"01033",0,755.78,8556.51,12355.17,12792.24,13826.92,14363.12,14676.89,14676.89,14676.89,14676.89,"01033",78084.72
"01035 Conecuh                     ","01035",0,0,24839.01,79540.5,79540.5,79540.5,79540.5,79540.5,79540.5,79540.5,79540.5,"01035",0,0,4991.13,15247.5,15247.5,15247.5,15247.5,15247.5,15247.5,15247.5,15247.5,"01035",0,0,14951.24,16104.76,19302.16,19302.16,19302.16,19776.58,20355.94,20355.94,20822.26,"01035",89123.61
"01037 Coosa                       ","01037",0,0,15279.02,46536.75,46536.75,46536.75,46536.75,46536.75,46536.75,46536.75,46536.75,"01037",0,0,3627.52,10597.5,10597.5,10597.5,10597.5,10597.5,10597.5,10597.5,10597.5,"01037",0,0,7148.42,7148.42,9724.65,10558.44,12936.74,13899.57,18553.29,19636.83,22305.51,"01037",0
"01039 Covington                   ","01039",0,0,12627.46,40121.25,40121.25,40121.25,40121.25,40121.25,40121.25,40121.25,40121.25,"01039",0,0,2611.23,7912.5,7912.5,7912.5,7912.5,7912.5,7912.5,7912.5,7912.5,"01039",0,733.2,11448.17,12708.68,12708.68,13412.51,15251.77,16473.06,16473.06,18427.74,18427.74,"01039",0
"01041 Crenshaw                    ","01041",0,0,9297.1,28743,28743,28743,28743,28743,28743,28743,28743,"01041",0,0,2108.28,6232.5,6232.5,6232.5,6232.5,6232.5,6232.5,6232.5,6232.5,"01041",0,0,15203.75,15203.75,15674.67,18807.81,18807.81,19730.43,19730.43,19730.43,20295.02,"01041",0
