,"FIPS","L0","L10","L20","L30","L40","L50","L60","L70","L80","L90","L100","FIPS","O0","O10","O20","O30","O40","O50","O60","O70","O80","O90","O100","TFIPS","T0","T10","T20","T30","T40","T50","T60","T70","T80","T90","T100","MFIPS","M"
"01001 Autauga                     ","01001",0,0,7131.8,22152,22152,22152,22152,22152,22152,22152,22152,"01001",0,0,1575.44,4575,4575,4575,4575,4575,4575,4575,4575,"01001",0,0,5681.16,8143.64,10530.99,12063.95,12063.95,13855.73,13855.73,14589.67,15137.9,"01001",0
"01003 Baldwin                     ","01003",0,0,14473.97,46357.99,46357.99,46357.99,46357.99,46357.99,46357.99,46357.99,46357.99,"01003",0,0,1988.09,6082.5,6082.5,6082.5,6082.5,6082.5,6082.5,6082.5,6082.5,"01003",0,0,33702.51,36730.46,39388.22,43085.52,47292.1,47292.1,47600.92,50336.94,50336.94,"01003",81.25
"01005 Barbour                     ","01005",0,0,13417.48,41691,41691,41691,41691,41691,41691,41691,41691,"01005",0,0,3755.07,11587.5,11587.5,11587.5,11587.5,11587.5,11587.5,11587.5,11587.5,"01005",0,0,9391.52,11660.28,12282.79,13899.99,15706.02,17861.28,18394.14,20439.8,20454.99,"01005",0
"01007 Bibb                        ","01007",0,0,14015.68,43943.75,43943.75,43943.75,43943.75,43943.75,43943.75,43943.75,43943.75,"01007",0,0,1664.45,4792.5,4792.5,4792.5,4792.5,4792.5,4792.5,4792.5,4792.5,"01007",0,0,12995.08,15327.66,17113.56,17846.72,19257.08,19257.08,19757.71,19757.71,19757.71,"01007",0
"01009 Blount                      ","01009",0,0,6474.29,19558.5,19558.5,19558.5,19558.5,19558.5,19558.5,19558.5,19558.5,"01009",0,0,3752.38,10740,10740,10740,10740,10740,10740,10740,10740,"01009",0,0,10681.88,11617.08,11617.08,12232.46,14194.09,14194.09,14194.09,14773.04,15682.62,"01009",0
"01011 Bullock                     ","01011",0,0,9944.85,31892.25,31892.25,31892.25,31892.25,31892.25,31892.25,31892.25,31892.25,"01011",0,0,958.14,2910,2910,2910,2910,2910,2910,2910,2910,"01011",0,0,9454.87,10208.41,10208.41,11333.5,11333.5,12375.1,14109.59,14109.59,16272.21,"01011",0
"01013 Butler                      ","01013",0,0,19357.45,62565.75,62565.75,62565.75,62565.75,62565.75,62565.75,62565.75,62565.75,"01013",0,0,1691.57,5010,5010,5010,5010,5010,5010,5010,5010,"01013",0,0,11783.37,12812.7,13722.96,13722.96,14222.55,14222.55,17472.17,17848.29,17848.29,"01013",0
"01015 Calhoun                     ","01015",0,0,6517.18,19399.1,19399.1,19399.1,19399.1,19399.1,19399.1,19399.1,19399.1,"01015",0,0,7489.89,22185,22185,22185,22185,22185,22185,22185,22185,"01015",0,0,3212.79,5276.37,6552.57,6745.73,7126,7126,7126,7126,8461.56,"01015",2084.39
"01017 Chambers                    ","01017",0,0,14524.91,42939,42939,42939,42939,42939,42939,42939,42939,"01017",0,0,13243.43,38587.5,38587.5,38587.5,38587.5,38587.5,38587.5,38587.5,38587.5,"01017",0,0,14659.84,15904.4,16691.15,16691.15,18580.18,18580.18,18962.43,20066.28,20538.46,"01017",0
"01019 Cherokee                    ","01019",0,0,4220.48,13593.91,13593.91,13593.91,13593.91,13593.91,13593.91,13593.91,13593.91,"01019",0,0,1993.98,5790,5790,5790,5790,5790,5790,5790,5790,"01019",0,0,8227.9,11722.48,14355.8,16807.93,16807.93,16807.93,17532.8,17532.8,18928.75,"01019",0
"01021 Chilton                     ","01021",0,0,7507.48,23264.51,23264.51,23264.51,23264.51,23264.51,23264.51,23264.51,23264.51,"01021",0,0,1840.01,5587.5,5587.5,5587.5,5587.5,5587.5,5587.5,5587.5,5587.5,"01021",0,0,5460.11,6887.27,7106.7,7582.73,8132.49,8132.49,8218.76,11410.94,11410.94,"01021",65.4
"01023 Choctaw                     ","01023",0,0,33291.42,103174.5,103174.5,103174.5,103174.5,103174.5,103174.5,103174.5,103174.5,"01023",0,0,1709.25,5145,5145,5145,5145,5145,5145,5145,5145,"01023",0,0,21985.18,32752.26,33933.27,35901.23,36265.43,36265.43,38066.98,41552.3,42579.17,"01023",0
"01025 Clarke                      ","01025",0,0,53414.9,161471.82,161471.82,161471.82,161471.82,161471.82,161471.82,161471.82,161471.82,"01025",0,0,1152.17,3337.5,3337.5,3337.5,3337.5,3337.5,3337.5,3337.5,3337.5,"01025",0,0,24861.75,27720.69,27731.04,29578.04,30053,31699.51,33286.18,33994.67,34342.72,"01025",0
"01027 Clay                        ","01027",0,0,8134.06,24581.08,24581.08,24581.08,24581.08,24581.08,24581.08,24581.08,24581.08,"01027",0,0,4991.13,15247.5,15247.5,15247.5,15247.5,15247.5,15247.5,15247.5,15247.5,"01027",0,0,7778.39,8165.32,8165.32,8165.32,8848.13,9153.34,9742.77,13010.27,14926.04,"01027",0
"01029 Cleburne                    ","01029",0,0,8940.03,28454.98,28454.98,28454.98,28454.98,28454.98,28454.98,28454.98,28454.98,"01029",0,0,3627.52,10597.5,10597.5,10597.5,10597.5,10597.5,10597.5,10597.5,10597.5,"01029",0,0,6667.16,7630.32,8504.64,8504.64,9561.61,9561.61,10138.84,12904.32,13712.06,"01029",0
"01031 Coffee                      ","01031",0,0,8062.21,25437.75,25437.75,25437.75,25437.75,25437.75,25437.75,25437.75,25437.75,"01031",0,0,2611.23,7912.5,7912.5,7912.5,7912.5,7912.5,7912.5,7912.5,7912.5,"01031",0,0,4374.35,6574.47,7646.74,9073.74,9073.74,9073.74,9073.74,9073.74,9073.74,"01031",0
"01033 Colbert                     ","01033",0,0,4688.25,14108.25,14108.25,14108.25,14108.25,14108.25,14108.25,14108.25,14108.25,"01033",0,0,2108.28,6232.5,6232.5,6232.5,6232.5,6232.5,6232.5,6232.5,6232.5,"01033",0,0,7800.73,11599.39,12036.46,13071.14,13607.34,13921.11,13921.11,13921.11,13921.11,"01033",0
