"qid","scenario","type","be005","be012","be017","be022","be027","be032","be037","be042","be047","be052","be057","be062","be067","be072","be077","be082","be087","be092","be097","be102","be107","be112","be117","be122","be127","be132","be137","be142","be147","be152","be157","be162","be167","be172","be177","be182","be187","be192","be197","be200"
"S01001","usfs","pulpwood",0,0,0,0,0,0,0,0,0,0,0,0,1951.04,1951.04,1951.04,1951.04,1951.04,1951.04,1951.04,1951.04,1951.04,1951.04,3624.03,3624.03,12517.68,20742.81,20742.81,24068.08,24068.08,26057.19,26057.19,26585.82,26691.82,31942.79,34293.84,34293.84,35892.72,35892.72,45187.82,56242.59
"S01003","usfs","pulpwood",0,0,0,0,0,0,0,0,0,0,4077.85,4077.85,10524.7,11722.67,11722.67,11722.67,14826.37,20010.02,20010.02,20010.02,25173.81,29749.57,41920.84,51745.57,55535.86,59177.4,63569.95,75248.31,75819.98,77369.53,77902.95,78765.69,83230.63,90163.34,99547,99862.89,100234.49,100591.02,102786.74,116569.18
"S01005","usfs","pulpwood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778.03,778.03,778.03,2649.81,2893.19,4421.62,6057.14,6186.15,6354.61,7001.11,8262.85,9054.75,12167.43,17826.22,17826.22,17826.22,17826.22,26953.78,29347.74,30866.54,37862.19,45657.15,50850.68,70900.25
"S01007","usfs","pulpwood",0,0,0,0,0,0,0,0,0,0,1542.27,1542.27,1542.27,1542.27,1542.27,1542.27,1542.27,1542.27,2633.23,2633.23,2633.23,2633.23,5477.94,6655.64,12400.36,14002.52,24447.37,25824.39,27140.31,27909.3,28319.94,30407.25,30407.25,32613.71,32613.71,33908.1,33908.1,35500.41,35500.41,49075.03
"S01009","usfs","pulpwood",0,0,0,0,0,0,0,0,0,0,2466.6,2466.6,2466.6,2466.6,2466.6,2466.6,2466.6,2466.6,2466.6,2466.6,3546.17,4298.51,4576.13,8556.9,8556.9,8556.9,9593.91,21266.67,22919.46,25801.04,25801.04,25801.04,25801.04,26558.15,26558.15,26558.15,26558.15,26558.15,26558.15,39599.97
"S01011","usfs","pulpwood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1134.53,1134.53,1134.53,2454.49,2789.18,3972.82,3972.82,3972.82,3972.82,10191.23,12544.95,12544.95,12544.95,14372.53,17498.69,24749.69,26741.87,26890.26,26890.26,30855.11,30855.11,52359.18
"S01013","usfs","pulpwood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5777.64,5901.68,6485.87,6485.87,9588.27,11234.29,14699.42,15413.83,16326.32,20769.82,21778.33,21778.33,24023.85,24244.65,24244.65,30547.94,30547.94,30547.94,33023.22,36248.45,36248.45,36248.45,42462.01,44256.4,44256.4,65356.09
"S01015","usfs","pulpwood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,541.84,954.24,954.24,4595.76,6590.61,7352.92,7352.92,8323.44,8323.44,8323.44,8323.44,9951.55,9951.55,9951.55,14782.75,14782.75,14782.75,21026.5
"S01017","usfs","pulpwood",0,0,0,0,0,0,0,0,0,0,0,0,892.76,892.76,892.76,892.76,892.76,892.76,1381.47,1589.93,2649.7,6135.09,8674.14,10732.74,11689.99,15394.85,15394.85,15394.85,16102.29,19433.51,20144.22,25469.12,29946.45,31636.02,31636.02,31636.02,37377.88,38667.94,43129.16,51698.67
"S01019","usfs","pulpwood",0,0,0,0,0,0,0,0,0,0,0,1962.28,1962.28,3657.98,3657.98,3657.98,3657.98,3657.98,3657.98,4910.48,6118.2,13128.96,13820.02,16817.02,17868,18095.95,18095.95,24950.55,24950.55,28439.8,28439.8,29540.24,31303.79,31303.79,31303.79,32002.46,32693.39,37915.81,41633.85,45810.4
"S01021","usfs","pulpwood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186.24,186.24,2255.89,2255.89,2255.89,2255.89,2255.89,4280.87,4736.8,4736.8,4736.8,7290.06,7290.06,8160.34,8160.34,11585.11,11585.11,11585.11,14015.32,17003.11,18300.5,21047.38,42686.06
"S01023","usfs","pulpwood",0,0,0,0,0,0,0,0,0,0,0,0,188.88,1628.63,1628.63,1628.63,5607.17,7428.91,7816.77,16004.75,26676.31,26676.31,31136.37,31991.58,32223.42,41511.43,43843.76,44660.98,51434.42,51434.42,56761.26,56761.26,61797.88,64135.29,64135.29,68812.73,72689.11,77468.01,77468.01,104448.24
"S01025","usfs","pulpwood",0,0,0,0,0,0,0,0,0,0,0,0,0,589.77,589.77,589.77,871.18,2959.97,4374.59,9282.32,10535.36,10535.36,12921.46,16885.91,16885.91,20598.23,24428.74,25310.3,33190.16,35797.14,39867.96,40683.39,42438.34,45479.97,48004.8,49186.07,52895.42,58844.54,62335.66,90665.87
"S01027","usfs","pulpwood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5175.74,7689.13,7689.13,7689.13,10560.07,11328.39,11328.39,18092.6,20363.64,20363.64,20363.64,21613.13,25287.95,25287.95,27611.84,30812.44,54773.33
"S01029","usfs","pulpwood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,656.82,670.92,670.92,670.92,670.92,670.92,670.92,1010.22,1010.22,1010.22,1010.22,1010.22,2670.9,6711.4,9093.21,9093.21,12031.81,15461.39,15461.39,16658.66,16658.66,16658.66,17977.83,17977.83,18711.48,42318.11
"S01031","usfs","pulpwood",0,0,0,0,0,0,0,0,0,0,2411.88,2411.88,2411.88,2411.88,2411.88,2411.88,2411.88,2411.88,6175.83,6175.83,6175.83,6175.83,7153.05,13167.55,13167.55,13167.55,20874.29,25315.01,34304.67,34724.34,34724.34,34724.34,35943.9,35943.9,35943.9,36884.45,43518.15,49258.63,49258.63,51976.12
"S01033","usfs","pulpwood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,449.53,449.53,449.53,449.53,1008.3,1838.73,1838.73,5120.54,5120.54,9395.99,9395.99,9395.99,9395.99,9395.99,13789.06,13789.06,13789.06,13789.06,15721.64,15721.64,16382.97,19302.2,24158.66
"S01035","usfs","pulpwood",0,0,0,0,0,0,0,0,0,0,0,0,0,1522.77,1707.94,1711.91,2612.52,7123.48,9677.91,9677.91,10106.75,10372.93,15607.64,17322.69,17322.69,17322.69,17484.52,17723.85,19525.16,24354.11,27806.24,30275.49,33635.56,34010.74,37107.73,45220.81,45220.81,48576.39,48576.39,60056.77
"S01037","usfs","pulpwood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2452.47,2452.47,2452.47,3253.35,5640.88,8515.24,12554.63,12554.63,17464.2,18283.52,20525.85,23446.71,24966.36,25727.24,27351.99,38535.84,45818.43,45818.43,49480.97,56783.43,57584.42,84797.83
"S01039","usfs","pulpwood",0,0,0,0,0,0,0,0,0,0,0,0,2908.64,2908.64,2908.64,2908.64,6991.3,7854,7854,16227.27,17803.88,22922.29,25868.32,29641.43,29641.43,31011.68,34209.32,34303.29,36145.09,38189.57,41071.44,41071.44,41071.44,43134.39,43134.39,51500.31,53034.8,53595.95,53595.95,73927.54
"S01041","usfs","pulpwood",0,0,0,0,0,0,0,0,0,0,0,0,3197.54,3197.54,4210.32,4232.06,4232.06,5856.63,5856.63,5991.3,7265.96,7875.76,9007.31,12112.47,14430.12,18634.2,18796.55,19058.47,29275.77,30466.36,30466.36,30938.55,30938.55,30938.55,31655.7,35217.08,39494.92,43708.67,46758.16,62267.11
"S01043","usfs","pulpwood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210.95,210.95,210.95,210.95,210.95,2302.25,3119.02,3954.11,4835.94,5535.58,5535.58,5535.58,5535.58,8568.82,14752.54,14752.54,14752.54,14752.54,18545.88,21634.58,21634.58,28638.63,28638.63,42228.58
"S01045","usfs","pulpwood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,513.23,513.23,513.23,513.23,2071.16,2071.16,3151.91,4101.1,6454.52,10292.74,10292.74,10292.74,10292.74,13052.12,13052.12,13052.12,13052.12,24793.91
"S01047","usfs","pulpwood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2179.4,2179.4,2179.4,3615.45,4520.05,8301.28,9125.45,9662.51,11083.42,11083.42,21279.95,26172.14,29901.41,39929.33,43339.52,51947.31,55197.77,57582.03,68015.79,69866.88,72143.55,72143.55,72143.55,79246.17
