"County","FIPS","URBAN"
"AUTAUGA AL","01001",9400
"BALDWIN AL","01003",31510
"BARBOUR AL","01005",6180
"BIBB AL","01007",4410
"BLOUNT AL","01009",10850
"BULLOCK AL","01011",2480
"BUTLER AL","01013",4560
"CALHOUN AL","01015",23990
"CHAMBERS AL","01017",7760
"CHEROKEE AL","01019",5090
"CHILTON AL","01021",8410
"CHOCTAW AL","01023",3370
"CLARKE AL","01025",5900
"CLAY AL","01027",3020
"CLEBURNE AL","01029",3000
"COFFEE AL","01031",9320
"COLBERT AL","01033",11730
"CONECUH AL","01035",2980
"COOSA AL","01037",2580
"COVINGTON AL","01039",7980
"CRENSHAW AL","01041",2890
"CULLMAN AL","01043",16430
"DALE AL","01045",10430
"DALLAS AL","01047",9830
"DEKALB AL","01049",13690
"ELMORE AL","01051",14130
"ESCAMBIA AL","01053",8140
"ETOWAH AL","01055",22060
"FAYETTE AL","01057",3920
"FRANKLIN AL","01059",6620
"GENEVA AL","01061",5470
"GREENE AL","01063",2120
"HALE AL","01065",3660
"HENRY AL","01067",3460
"HOUSTON AL","01069",19160
"JACKSON AL","01071",11460
"JEFFERSON AL","01073",142300
"LAMAR AL","01075",3370
"LAUDERDALE AL","01077",18730
"LAWRENCE AL","01079",7370
"LEE AL","01081",24700
"LIMESTONE AL","01083",13990
"LOWNDES AL","01085",2850
"MACON AL","01087",5160
"MADISON AL","01089",59400
"MARENGO AL","01091",4770
"MARION AL","01093",6640
"MARSHALL AL","01095",17530
"MOBILE AL","01097",86230
"MONROE AL","01099",5170
"MONTGOMERY AL","01101",47990
"MORGAN AL","01103",23810
"PERRY AL","01105",2510
"PICKENS AL","01107",4440
"PIKE AL","01109",6280
"RANDOLPH AL","01111",4730
"RUSSELL AL","01113",10690
"ST. CLAIR AL","01115",13870
"SHELBY AL","01117",31860
"SUMTER AL","01119",3140
"TALLADEGA AL","01121",17060
"TALLAPOOSA AL","01123",8820
"TUSCALOOSA AL","01125",35420
"WALKER AL","01127",14980
"WASHINGTON AL","01129",3830
"WILCOX AL","01131",2790
"WINSTON AL","01133",5260
"APACHE AZ","04001",3540
"COCHISE AZ","04003",6220
"COCONINO AZ","04005",6120
"GILA AZ","04007",2730
"GRAHAM AZ","04009",1720
"GREENLEE AZ","04011",430
"LA PAZ AZ","04012",1010
"MARICOPA AZ","04013",169580
"MOHAVE AZ","04015",8600
"NAVAJO AZ","04017",5150
"PIMA AZ","04019",45480
"PINAL AZ","04021",9970
"SANTA CRUZ AZ","04023",2090
"YAVAPAI AZ","04025",9320
"YUMA AZ","04027",8570
"ARKANSAS AR","05001",2710
"ASHLEY AR","05003",3160
"BAXTER AR","05005",5070
"BENTON AR","05007",20950
"BOONE AR","05009",4550
"BRADLEY AR","05011",1640
"CALHOUN AR","05013",750
"CARROLL AR","05015",3330
"CHICOT AR","05017",1850
"CLARK AR","05019",3090
"CLAY AR","05021",2300
"CLEBURNE AR","05023",3170
"CLEVELAND AR","05025",1120
"COLUMBIA AR","05027",3350
"CONWAY AR","05029",2660
"CRAIGHEAD AR","05031",10960
"CRAWFORD AR","05033",7050
"CRITTENDEN AR","05035",6870
"CROSS AR","05037",2570
"DALLAS AR","05039",1200
"DESHA AR","05041",2020
"DREW AR","05043",2480
"FAULKNER AR","05045",11630
"FRANKLIN AR","05047",2330
"FULTON AR","05049",1520
"GARLAND AR","05051",11560
"GRANT AR","05053",2150
"GREENE AR","05055",5040
"HEMPSTEAD AR","05057",3090
"HOT SPRING AR","05059",3960
"HOWARD AR","05061",1880
"INDEPENDENCE AR","05063",4470
"IZARD AR","05065",1740
"JACKSON AR","05067",2420
"JEFFERSON AR","05069",11080
"JOHNSON AR","05071",2990
