chem_code,casnum
1,"3383-96-8   "
2,"2244-21-5   "
3,"107-02-8    "
5,"66-81-9     "
7,"1596-84-5   "
8,"64-17-5     "
9,"309-00-2    "
10,"68391-03-7  "
12,"584-79-2    "
17,"101-10-0    "
18,"834-12-8    "
20,"61-82-5     "
21,"7773-06-0   "
22,"7664-41-7   "
25,"1762-95-4   "
27,"6379-37-9   "
32,"75-60-5     "
34,"2163-80-6   "
37,"118-52-5    "
38,"86-88-4     "
39,"140-57-8    "
40,"7778-39-4   "
42,"1327-53-3   "
45,"1912-24-9   "
47,"57-62-5     "
48,"2303-16-4   "
49,"2303-17-5   "
50,"1124-33-0   "
50,"504-24-5    "
51,"1918-11-2   "
52,"6923-22-4   "
53,"1861-40-1   "
54,"8029-29-6   "
55,"101-27-9    "
60,"1184-64-1   "
60,"12069-69-1  "
62,"114-26-1    "
63,"55-38-9     "
65,"100-52-7    "
66,"121-54-0    "
67,"71-43-2     "
68,"120-51-4    "
70,"741-58-2    "
72,"141-66-2    "
73,"485-31-4    "
74,"4644-96-6   "
75,"54-11-5     "
77,"122-10-1    "
78,"8001-85-2   "
79,"1303-96-4   "
81,"99-30-9     "
83,"314-40-9    "
86,"68038-71-1  "
88,"52-68-6     "
89,"111-76-2    "
90,"532-34-3    "
91,"2282-34-0   "
92,"141-00-4    "
93,"513-78-0    "
94,"10108-64-2  "
96,"7778-44-1   "
98,"156-62-7    "
99,"1305-62-0   "
99,"1333-29-5   "
99,"7719-01-9   "
100,"10112-91-1  "
101,"5902-95-4   "
102,"76-22-2     "
104,"133-06-2    "
105,"63-25-2     "
106,"1563-66-2   "
107,"108-95-2    "
108,"75-15-0     "
109,"56-23-5     "
110,"786-19-6    "
111,"23422-53-9  "
112,"1194-65-6   "
114,"93-71-0     "
115,"95-06-7     "
116,"57-09-0     "
122,"124-03-8    "
124,"127-52-6    "
125,"127-65-1    "
127,"4418-66-0   "
130,"57-74-9     "
131,"7782-50-5   "
132,"510-15-6    "
133,"67-66-3     "
133,"8013-54-5   "
135,"2675-77-6   "
136,"76-06-2     "
137,"5836-10-2   "
138,"71-55-6     "
139,"111-30-8    "
140,"7700-17-6   "
141,"101-21-3    "
142,"77-92-9     "
143,"8000-29-1   "
144,"65996-82-9  "
147,"142-71-2    "
151,"20427-59-2  "
153,"1338-02-9   "
154,"10402-16-1  "
155,"9007-49-0   "
156,"1332-40-7   "
158,"8012-69-9   "
159,"10380-28-6  "
161,"7758-99-8   "
162,"1344-73-6   "
163,"1344-74-7   "
164,"55072-57-6  "
165,"56-72-4     "
166,"2164-17-2   "
170,"9003-13-8   "
173,"15096-52-3  "
175,"1317-39-1   "
176,"592-01-8    "
177,"108-94-1    "
178,"2759-71-9   "
179,"1861-32-1   "
180,"75-99-0     "
181,"115-90-2    "
182,"776-19-2    "
183,"96-12-8     "
184,"72-54-8     "
185,"78-87-5     "
186,"50-29-3     "
187,"62-73-7     "
189,"134-62-3    "
190,"78-48-8     "
192,"78-34-2     "
194,"140-56-7    "
195,"7631-86-9   "
196,"869-29-4    "
197,"68514-95-4  "
198,"333-41-5    "
199,"84-74-2     "
200,"1918-00-9   "
201,"1191-17-9   "
202,"117-80-6    "
203,"111-44-4    "
203,"623-46-1    "
204,"2782-57-2   "
