chem_code,chemalpha_cd,chemname
2254,175,"ABAMECTIN"
92254,176,"ABAMECTIN, OTHER RELATED"
1158,200,"ABIETIC ACID"
1212,300,"ABIETIC ANHYDRIDE"
5952,315,"S-ABSCISIC ACID"
2346,325,"ACACIA"
4048,385,"ACENAPHTHENE"
1685,400,"ACEPHATE"
5801,415,"ACEQUINOCYL"
3012,425,"ACETALDEHYDE"
5080,430,"ACETALDEHYDE,(3,3-DIMETHYLCYCLOHEXYLIDENE)-,(E)"
5762,490,"ACETAMIPRID"
933,500,"ACETIC ACID"
3013,507,"ACETIC ACID, COPPER (2+) SALT"
5065,510,"ACETIC ACID, SODIUM SALT (2:1)"
3014,512,"ACETIC ANHYDRIDE"
2349,525,"ACETOCHLOR"
2350,575,"ACETOHEXAMIDE"
747,600,"ACETONE"
3015,650,"ACETONITRILE"
2074,700,"ACETOPHENONE"
3017,727,"ACETYLATED LANOLIN"
3018,728,"ACETYLATED LANOLIN ALCOHOL"
5113,730,"ACETYLSALICYLIC ACID"
5338,733,"ACIBENZOLAR-S-METHYL"
2352,735,"ACID BLUE 7"
2154,750,"ACID BLUE 9, DIAMMONIUM SALT"
3562,775,"ACID BLUE 9, DISODIUM SALT"
2218,950,"ACIFLUORFEN, SODIUM SALT"
1340,1000,"ACRIFLAVINE"
3,1100,"ACROLEIN"
3567,1150,"ACRYLAMIDE/SODIUM ACRYLATE COPOLYMER"
2118,1300,"ACRYLIC ACID"
3019,1320,"ACRYLONITRILE"
1724,1600,"ADIPIC ACID"
3872,1603,"ADIPIC ACID, DIISOBUTYL ESTER"
2355,1605,"AERON"
3568,1607,"AGAR"
2356,1610,"AGENT 551-85"
1984,1650,"AGROBACTERIUM RADIOBACTER"
5477,1660,"AGROBACTERIUM RADIOBACTER, STRAIN K1026"
1421,1670,"AKTON"
91421,1680,"AKTON, OTHER RELATED"
678,1700,"ALACHLOR"
5804,1705,"ALACHLOR ETHANESULFONIC ACID"
5805,1710,"ALACHLOR OXANILIC ACID"
2011,1850,"ALCOHOL SULFATES"
2067,1900,"ALCOHOLS, C4-C12, NORMAL"
5824,1905,"ALCOHOLS, C6-C10"
5072,1910,"ALCOHOLS, C6-12"
5073,1920,"ALCOHOLS, C8-10"
5844,1930,"ALCOHOLS, C12-C14, ALIPHATIC"
575,2000,"ALDICARB"
2361,2025,"ALDICARB SULFOXIDE"
2265,2050,"ALDOXYCARB"
9,2100,"ALDRIN"
90009,2200,"ALDRIN, OTHER RELATED"
3569,2225,"ALFALFA"
3570,2227,"ALFALFA MEAL"
3571,2250,"ALGIN"
5869,2330,"ALKANOIC AND ALKENOIC (C18) MONO- AND DIESTERS OF ALPHA-HYDRO-OMEGA-HYDROXYPOLY(OXYETHYLENE)"
1036,2500,"ALKENYL (75%C18, 25%C16) DIMETHYLAMINE ACETATE"
1243,2600,"ALKENYL (90%C18, 10%C16) DIMETHYLETHYL AMMONIUM BROMIDE"
2020,2750,"3-ALKOXY (C12-C15)-2-HYDROXYPROPYL TRIMETHYL AMMONIUM CHLORIDE"
1706,2900,"ALKYL AND ALKYLARYL POLY (OXYETHYLENE) GLYCOLS, MIXED"
1122,3100,"ALKYLAMINE HYDROCHLORIDE ALKYL DERIVED FROM COCONUT OIL FATTY ACIDS"
1830,3150,"1-(ALKYLAMINO)-3-AMINOPROPANE"
2365,3175,"1-ALKYL (C6-C18) AMINO-3-AMINOPROPANE ACETATE"
1954,3200,"1-ALKYL (C6-C18) AMINO-3-AMINOPROPANE DIACETATE"
1972,3250,"ALKYLAMINO-3-AMINOPROPANE HYDROXYACETATE, ALKYL DERIVED FROM COCONUT OIL FATTY ACIDS"
1335,3275,"1-ALKYLAMINO-2-AMINOPROPANE MONOACETATE, ALKYL DERIVED FROM COCONUT OIL FATTY ACIDS"
748,3300,"ALPHA-ALKYLARYL-OMEGA-HYDROXYPOLY(OXYETHYLENE)"
5323,3350,"ALKYLARYL POLYETHOXYETHANOL SULFATES"
1199,3400,"ALKYLARYL SULFONATES"
1211,3500,"ALKYLARYL SULFONATES, AMINE SALTS"
2368,3520,"ALPHA-ALKYLARYL-OMEGA-HYDROXYPOLY(OXYETHYLENE) PHOSPHATE"
3573,4360,"ALKYL (AS IN FATTY ACIDS OF COCONUT OIL) MONOETHANOLAMIDE"
2371,4370,"ALKYL (C9H12) BENZENES"
1218,4400,"ALKYL BENZENE SULFONIC ACID"
1630,4500,"ALKYL (C10-C14) BENZENE SULFONIC ACID, CALCIUM SALT"
1739,4600,"PARA-ALKYL (C9-C13) BENZENE SULFONIC ACID, SODIUM SALT"
1438,4700,"ALKYL BENZYL GLYOXALIDINIUM CHLORIDE"
2342,4720,"2-ALKYL-1-BENZYL-1-(2-HYDROXYETHYL)-2-IMIDAZOLINIUM CHLORIDE (ALKYL DERIVED FRON COCONUT FATTY ACIDS)"
3021,4740,"ALKYL N,N-BIS (2-HYDROXY ETHYLAMINE) (100% C12-C18)"
2031,4750,"ALKYL (C8-C18) BIS (2-HYDROXYETHYL) BENZYL AMMONIUM CHLORIDE"
3969,4755,"ALKYL DIETHYLAMIDE, ALKYL DERIVED FROM PALM KERNAL OIL FATTY ACIDS"
2372,4760,"ALKYL DIMETHYL AMINE"
3896,4765,"ALKYL (C10-16) DIMETHYL AMINE OXIDE"
2374,4780,"ALKYL (C14, C12, C16) DIMETHYL BENZYL AMMONIUM CHLORIDE"
1903,4850,"ALKYL & DIALKYL (C8-C13) PHENOXYBENZENE DISULFONIC ACID, SODIUM"
1714,4900,"ALKYL & DIALKYL SUCCINIC ACIDS, SALTS OF"
1970,4910,"ALKYL (47%C12, 18%C14, 10%C18, 10%C16, 15%C8-C10) DIMETHYLBENZYL AMMONIUM CHLORIDE"
1850,4920,"ALKYL (50%C12, 30%C14, 17%C16, 3%C18) DIMETHYLBENZYL AMMONIUM CHLORIDE"
1846,4930,"ALKYL (50%C14, 40%C12, 10%C16) DIMETHYLBENZYL AMMONIUM CHLORIDE"
3535,4935,"ALKYL (53%C12, 19%C14, 8.5%C16, 7%C8, 6.5%C10, 6%C18) DIMETHYL BENZYLAMMONIUM CHLORIDE"
1912,4940,"ALKYL (58%C14, 28%C16, 14%C12) DIMETHYLBENZYL AMMONIUM CHLORIDE"
1956,4945,"ALKYL (60%C14, 25%C12, 15%C16) DIMETHYLBENZYL AMMONIUM CHLORIDE"
1847,4950,"ALKYL (60%C14, 30%C16, 5%C12, 5%C18) DIMETHYLBENZYL AMMONIUM CHLORIDE"
1975,4960,"ALKYL (61%C12, 23%C14, 11%C16, 5%C18) DIMETHYL BENZYL AMMONIUM CHLORIDE"
