site_code,site_name
-1,"UNKNOWN"
10,"STRUCTURAL PEST CONTROL"
30,"LANDSCAPE MAINTENANCE"
40,"RIGHTS OF WAY"
50,"PUBLIC HEALTH"
60,"COUNTY AG COMM"
80,"VERTEBRATE CONTROL"
90,"COMMODITY FUMIGATION"
91,"FUMIGATION, OTHER"
99,"RESEARCH COMMODITY"
100,"REGULATORY PEST CONTROL"
151,"N-GRNHS FLOWER"
152,"N-OUTDR FLOWER"
153,"N-GRNHS PLANTS IN CONTAINERS"
154,"N-OUTDR PLANTS IN CONTAINERS"
155,"N-GRNHS TRANSPLANTS"
156,"N-OUTDR TRANSPLANTS"
1000,"SMALL FRUITS/BERRY"
1001,"CANEBERRIES (ALL OR UNSPEC), (BRAMBLES)"
1002,"BLACKBERRY"
1003,"BOYSENBERRY"
1004,"DEWBERRY"
1005,"LOGANBERRY"
1006,"RASPBERRY"
1009,"BLUEBERRY"
1010,"CRANBERRY"
1011,"CURRANT"
1013,"GOOSEBERRY"
1014,"GRAPES (ALL OR UNSPEC)"
1015,"HUCKLEBERRY (GAYLUSSACIA SPECIES ONLY)"
1016,"STRAWBERRY"
1023,"BUSHBERRY"
1501,"RAISIN (DRIED GRAPE)"
2000,"CITRUS"
2001,"CITRON (CITRUS)"
2002,"GRAPEFRUIT"
2003,"KUMQUAT"
2004,"LEMON"
2005,"LIME"
2006,"ORANGE"
2007,"TANGELO"
2008,"TANGERINE"
2009,"CITRUS HYBRIDS OTHER THAN TANGELO"
2012,"POMELO"
2014,"ORANGE, KING"
2501,"LIMEQUAT"
3000,"NUTS"
3001,"ALMOND"
3003,"CASHEW"
3004,"CHESTNUT"
3005,"FILBERT OR HAZELNUT"
3006,"HICKORY NUT"
3007,"MACADAMIA NUT"
3008,"PECAN"
3009,"WALNUT"
3011,"PISTACHIO"
4000,"POME FRUIT"
4001,"APPLE"
4002,"CRABAPPLE"
4003,"PEAR"
4004,"QUINCE"
4005,"ASIAN PEAR"
4501,"ASIAN PEAR"
5000,"STONE FRUIT"
5001,"APRICOT"
5002,"CHERRY"
5003,"NECTARINE"
5004,"PEACH"
5005,"PLUM"
5006,"PRUNE"
5007,"CHERRY, SWEET"
5008,"CHERRY, SOUR"
