Longitude,Latitude,Company,Address,City,State,zipcode,Company Website,Feedstock,Status,Capacity [Mg/y],State Date
-103.33440399200,34.18619155880,Abengoa Bioenergy Corp.,,Portales,NM,,,milo,Not Producing,30,July 2005
-87.72813000000,37.90528500000,Abengoa Bioenergy Corp.,10610 Darnell School Road,Mt. Vernon,IN,47620,http://www.abengoa-bioenergy.com,corn,construction,88,unknown
-89.98250100000,38.68568100000,Abengoa Bioenergy Corp.,395 Bissell Street,Madison,IL,62062,http://www.abengoa-bioenergy.com,corn,construction,88,unknown
-97.53147800000,37.78656400000,Abengoa Bioenergy Corp.,523 East Union Avenue,Colwich,KS,67030,http://www.abengoa-bioenergy.com,corn/milo,operating,25,December 2002
-97.53980200000,40.87230500000,Abengoa Bioenergy Corp.,1414 Road O,York,NE,68467,http://www.abengoa-bioenergy.com,Corn,operating,55,December 1993
-98.87475100000,41.01713900000,Abengoa Bioenergy Corp.,35955 Navaho Road,Ravenna,NE,68869,http://www.abengoa-bioenergy.com,Corn,operating,88,July 2007
-92.94978300000,43.49980100000,Absolute Energy - LLC*,1372 State Line Road,St. Ansgar,IA,50472,http://www.absenergy.org/,Corn,operating,100,February 2008
-90.96037500000,44.95877900000,ACE Ethanol - LLC,815 West Maple Street,Stanley,WI,54768,http://www.aceethanol.com,Corn,operating,42,June 2002
-89.80143300000,42.35778800000,Adkins Energy - LLC*,4350 W. Galena Road,Lena,IL,61048,http://www.adkinsenergy.com,Corn,operating,43,August 2002
-97.59585600000,40.61123400000,Advanced Bioenergy - LLC,1214 Road G,Fairmont,NE,68354,http://www.advancedbioenergy.com/,Corn,operating,100,October 2007
-88.93839600000,38.00595600000,Ag Energy Resources - Inc.,10163 Sugar Creek Road,Benton,IL,62812,http://www.agenergyresources.com,corn,construction,5,2010
-98.39227800000,40.58982800000,AGP*,,Hastings,NE,,http://www.agp.com,Corn,operating,52,1992
-96.22307700000,43.64269700000,Agri-Energy - LLC*,502 S Walnut Avenue,Luverne,MN,56156,http://www.buycorn.com,Corn,operating,21,February 1999
-92.99528000000,44.05194500000,Al-Corn Clean Fuel*,,Claremont,MN,,http://www.al-corn.com,Corn,operating,36,May 1996
-97.41063690230,48.41220855760,Alchem LLP,,Grafton,ND,,,Corn,Not Producing,11,1990
-81.85957336450,40.27201080300,AltraBiofuels Coshocton Ethanol LLC,,Coshocton,OH,,,Corn,Not Producing,60,October 2007
-86.79389953570,39.51476669340,AltraBiofuels Indiana LLC,,Cloverdale,IN,,,corn,operating,88,Jan 2009
-119.42479000000,36.34897800000,AltraBiofuels Phoenix Bio Industries - LLC,,Goshen,CA,,http://www.altrabiofuels.com,Corn,operating,25,September 2005
-95.35186000000,42.01237800000,Amaizing Energy - LLC*,,Denison,IA,,http://www.amzenergy.com,Corn,operating,55,September 2005
-95.01442600000,41.40400600000,Amaizing Energy - LLC*,,Atlantic,IA,,http://www.amzenergy.com,Corn,operating,110,August 2009
-77.28720092810,37.30431747470,Appomattox Bio Energy LLC,,Hopewell,VA,,,Winter Barley,construction,65,May 2010
-91.68631800000,41.92719700000,Archer Daniels Midland,,Cedar Rapids,IA,,http://www.admworld.com,Corn,construction,275,third quarter of  2010
-91.68631800000,41.92719700000,Archer Daniels Midland,1350 Waconia Drive,Cedar Rapids,IA,52404,http://www.admworld.com,Corn,operating,420,purchased 1981
-90.21538300000,41.81796000000,Archer Daniels Midland,1251 Beaver Channel Parkway,Clinton,IA,52732,http://www.admworld.com,Corn,operating,237,purchased 1982
