PLANT,COMPANY,CAPACITY,YEAR,FUEL_TYPE,CITY,STATE,LATITUDE,LONGITUDE,STATUS
HAINES COGEN,CHILKOOT LUMBER CO,4.00,1990,WOOD,Haines,AK,59.06397,-135.52210,operational
SITKA WTE,SHELDON JACKSON COLLEGE,0.50,1985,REF,Sitka,AK,56.94703,-134.97877,operational
SITKA WTE,SHELDON JACKSON COLLEGE,0.50,1985,REF,Sitka,AK,56.94703,-134.97877,operational
,Eilson Air Force Base,1.90,0,,Fairbanks,AK,64.42573,-147.63640,operational
,UniSea Power Production,3.30,0,,Dutch Harbor,AK,53.55056,-166.95180,operational
,Not Available,16.10,0,,Aleutians,AK,58.76292,-156.51198,operational
,Not Available,16.10,0,,Kodiak,AK,57.33218,-157.37361,operational
ARLEY,QUALITY DINETTE INC,0.28,0,WOOD,Arley,AL,34.09014,-87.18578,operational
BREWTON MILL,SMURFIT-STONE CORP,12.50,1957,WOOD,Brewton,AL,31.14602,-87.08096,operational
BREWTON MILL,SMURFIT-STONE CORP,12.50,1964,WOOD,Brewton,AL,31.14602,-87.08096,operational
BREWTON MILL,SMURFIT-STONE CORP,13.90,1982,WOOD,Brewton,AL,31.14602,-87.08096,operational
CLAIBORNE,ALABAMA RIVER PULP CO,48.00,1978,WOOD,Perdue Hill,AL,31.52655,-87.32393,operational
CLAIBORNE EXPANSION,PARSONS & WHITTEMORE INC,69.00,1991,LIQ,Perdue Hill,AL,31.52655,-87.32393,operational
COOSA PINES,BOWATER CANADIAN FOREST PROD,5.00,1942,WOOD,Coosa Pines,AL,0.00000,0.00000,operational
COOSA PINES,BOWATER CANADIAN FOREST PROD,5.00,1942,WOOD,Coosa Pines,AL,0.00000,0.00000,operational
COOSA PINES,BOWATER CANADIAN FOREST PROD,5.00,1942,WOOD,Coosa Pines,AL,0.00000,0.00000,operational
COOSA PINES,BOWATER CANADIAN FOREST PROD,5.00,1942,WOOD,Coosa Pines,AL,0.00000,0.00000,operational
COOSA PINES,BOWATER CANADIAN FOREST PROD,5.00,1942,WOOD,Coosa Pines,AL,0.00000,0.00000,operational
COOSA PINES,BOWATER CANADIAN FOREST PROD,12.50,1968,WOOD,Coosa Pines,AL,0.00000,0.00000,operational
COURTLAND MILL,INTERNATIONAL PAPER CO,62.80,1991,WOOD,Courtland,AL,34.63570,-87.30013,operational
COURTLAND MILL,INTERNATIONAL PAPER CO,27.50,1993,WOOD,Courtland,AL,34.63570,-87.30013,operational
DEMOPOLIS GULF STATES,GULF STATES PAPER CORP,10.80,1982,LIQ,Demopolis,AL,32.43139,-87.92593,operational
DOTHAN,CRESTWOOD CORP,5.00,1986,BIOMASS,Dothan,AL,31.15641,-85.40167,operational
EUFAULA DIXON,MC DIXON LUMBER CO,2.50,1979,WOOD,Eufaula,AL,31.84115,-85.22272,operational
FULTON SCOTCH,SCOTCH LUMBER CO,2.50,0,WOOD,Fulton,AL,31.81572,-87.59903,operational
JACKSON P&P MILL,BOISE CASCADE CORP,18.00,1978,WOOD,Jackson,AL,31.49827,-87.81175,operational
MOBILE A,MIRANT CORP,12.50,1960,WOOD,Mobile,AL,30.69523,-88.04312,operational
MOBILE A,MIRANT CORP,15.60,1964,WOOD,Mobile,AL,30.69523,-88.04312,operational
MOBILE A,MIRANT CORP,43,1985,WOOD,Mobile,AL,30.69523,-88.04312,operational
MOBILE A,MIRANT CORP,35.70,1985,WOOD,Mobile,AL,30.69523,-88.04312,operational
MOBILE PAPER MILL,INTERNATIONAL PAPER CO,20,1956,WOOD,Mobile,AL,30.69523,-88.04312,operational
MOBILE PAPER MILL,INTERNATIONAL PAPER CO,40,1956,WOOD,Mobile,AL,30.69523,-88.04312,operational
MOBILE PAPER MILL,INTERNATIONAL PAPER CO,32,1976,WOOD,Mobile,AL,30.69523,-88.04312,operational
NAHEOLA MILL,GEORGIA-PACIFIC CORP,15.60,1958,WOOD,Pennington,AL,32.24169,-88.05291,operational
NAHEOLA MILL,GEORGIA-PACIFIC CORP,15.60,1962,WOOD,Pennington,AL,32.24169,-88.05291,operational
NAHEOLA MILL,GEORGIA-PACIFIC CORP,47.20,1993,LIQ,Pennington,AL,32.24169,-88.05291,operational
PINE HILL,WEYERHAEUSER CO,43.50,1968,WOOD,Pine Hill,AL,31.99271,-87.55684,operational
PINE HILL,WEYERHAEUSER CO,32.90,1982,WOOD,Pine Hill,AL,31.99271,-87.55684,operational
PRATTVILLE MILL,INTERNATIONAL PAPER CO,25,1967,WOOD,Prattville,AL,32.51790,-86.44477,operational
