cdl,nass,crop
,AG LAND,f
,"AG LAND, CONSERVATION & WETLANDS PROGRAMS",f
,"AG LAND, CROP INSURANCE",f
,"AG LAND, CROPLAND",f
,"AG LAND, CROPLAND, (EXCL HARVESTED & PASTURED)",f
,"AG LAND, CROPLAND, (EXCL HARVESTED & PASTURED), ALL CROPS FAILED",f
,"AG LAND, CROPLAND, (EXCL HARVESTED & PASTURED), CULTIVATED SUMMER FALLOW",f
,"AG LAND, CROPLAND, (EXCL HARVESTED & PASTURED), IDLE",f
,"AG LAND, CROPLAND, (EXCL PASTURED)",f
,"AG LAND, CROPLAND, HARVESTED",f
,"AG LAND, CROPLAND, HARVESTED, IRRIGATED",f
,"AG LAND, CROPLAND, PASTURED ONLY",f
,"AG LAND, FARMSTEADS, BUILDINGS, ANIMAL FACILITIES, PONDS, ROADS, WASTELAND, ETC",f
,"AG LAND, INCL BUILDINGS",f
,"AG LAND, IRRIGATED",f
,"AG LAND, ORGANIC",f
,"AG LAND, ORGANIC, CROPLAND",f
,"AG LAND, ORGANIC, CROPLAND, HARVESTED",f
,"AG LAND, ORGANIC, PASTURELAND",f
,"AG LAND, ORGANIC, TRANSITIONING",f
,"AG LAND, OWNED, IN FARMS",f
,"AG LAND, PASTURELAND",f
,"AG LAND, PASTURELAND, (EXCL CROPLAND & WOODLAND)",f
,"AG LAND, PASTURELAND, (EXCL WOODLAND)",f
,"AG LAND, PASTURELAND & OTHER LAND, (EXCL HARVESTED CROPLAND), IRRIGATED",f
,"AG LAND, RENTED FROM OTHERS, IN FARMS",f
,"AG LAND, WOODLAND",f
,"AG LAND, WOODLAND, (EXCL PASTURED)",f
,"AG LAND, WOODLAND, PASTURED",f
,AGRI-TOURISM & RECREATIONAL SERVICES,f
,"AG SERVICES, CUSTOMWORK",f
,"AG SERVICES, CUSTOMWORK & OTHER",f
,"AG SERVICES, MACHINERY RENTAL",f
,"AG SERVICES, OTHER PRODUCTION EXPENSES",f
,"AG SERVICES, UTILITIES",f
Alfalfa,,f
Almonds,ALMONDS,t
,ALPACAS,f
,"ANIMALS, OTHER, PRODUCTION CONTRACT",f
,ANIMAL TOTALS,f
,"ANIMAL TOTALS, ANIMALS ONLY, ORGANIC",f
,"ANIMAL TOTALS, BREEDING",f
,"ANIMAL TOTALS, (EXCL BREEDING)",f
,"ANIMAL TOTALS, INCL PRODUCTS",f
,"ANIMAL TOTALS, PRODUCTS ONLY, ORGANIC",f
Apples,APPLES,t
Apricots,APRICOTS,t
Aquaculture,"AQUACULTURE, OTHER",t
Aquaculture,"AQUACULTURE, OTHER, REPORTED BY LBS SOLD",t
Aquaculture,"AQUACULTURE, OTHER, REPORTED BY NUMBER SOLD",t
Aquaculture,AQUACULTURE TOTALS,t
,AQUATIC PLANTS,f
,"AQUATIC PLANTS, IN THE OPEN",f
,"AQUATIC PLANTS, UNDER PROTECTION",f
,ARTICHOKES,f
,"ARTICHOKES, FRESH MARKET",f
Asparagus,ASPARAGUS,t
Asparagus,"ASPARAGUS, FRESH MARKET",t
Asparagus,"ASPARAGUS, PROCESSING",t
,AVOCADOS,f
,BAITFISH TOTALS,f
,"BAITFISH TOTALS, REPORTED BY LBS SOLD",f
,"BAITFISH TOTALS, REPORTED BY NUMBER SOLD",f
,BANANAS,f
Barley,BARLEY,t
Barley,"BARLEY, IRRIGATED",t
Dry Beans,"BEANS, DRY EDIBLE, (EXCL LIMA)",f
Dry Beans,"BEANS, DRY EDIBLE, (EXCL LIMA), IRRIGATED",f
Dry Beans,"BEANS, DRY EDIBLE, LIMA",f
Dry Beans,"BEANS, DRY EDIBLE, LIMA, IRRIGATED",f
,"BEANS, GREEN, LIMA",f
,"BEANS, GREEN, LIMA, FRESH MARKET",f
,"BEANS, GREEN, LIMA, PROCESSING",f
,"BEANS, SNAP",f
,"BEANS, SNAP, FRESH MARKET",f
,"BEANS, SNAP, PROCESSING",f
,BEDDING PLANT TOTALS,f
,"BEDDING PLANT TOTALS, IN THE OPEN",f
,"BEDDING PLANT TOTALS, UNDER PROTECTION",f
,BEETS,f
,"BEETS, FRESH MARKET",f
,"BEETS, PROCESSING",f
Caneberries,"BERRIES, OTHER",f
Caneberries,BERRY TOTALS,f
Caneberries,"BERRY TOTALS, IRRIGATED",f
,BISON,f
Caneberries,"BLACKBERRIES, INCL DEWBERRIES",f
Blueberries,"BLUEBERRIES, TAME",t
Caneberries,BOYSENBERRIES,f
Broccoli,BROCCOLI,t
Broccoli,"BROCCOLI, FRESH MARKET",t
Broccoli,"BROCCOLI, PROCESSING",t
,BRUSSELS SPROUTS,f
,"BRUSSELS SPROUTS, FRESH MARKET",f
,"BRUSSELS SPROUTS, PROCESSING",f
Buckwheat,BUCKWHEAT,t
Buckwheat,"BUCKWHEAT, IRRIGATED",t
,"BULBS, CORMS, RHIZOMES & TUBERS, DRIED",f
,"BULBS, CORMS, RHIZOMES & TUBERS, IN THE OPEN, DRIED",f
,"BULBS, CORMS, RHIZOMES & TUBERS, UNDER PROTECTION, DRIED",f
Cabbage,"CABBAGE, CHINESE",t
